,Index,Family,Genus,Scientific Name,Japanese Name,Other Name,Western Name,Derivation,Season,In Bloom,Signifies,Search Names,Variants,青（ムーンダスト）,ドラセナ・フラグランス（幸福の木）,青,トゲ,ヒメユリ,黄,クルマユリ,プリムラ・シネンシス,ジャーマンアイリス,ササユリ,カノコユリ,プリムラ・オブコニカ,葉,カサブランカ,ハゴロモジャスミン,白いつぼみ,シダレヤナギ,ソメイヨシノ,ドラセナ・サンデリアーナ（ミリオンバンブー）,実,四つ葉,オニユリ,オレンジ,サトザクラ、ヤエザクラ,ピンク,シダレザクラ,ハナショウブ,プリムラ・ポリアンサ,プリムラ・マラコイデス,ヤマユリ,赤,赤いつぼみ,スカシユリ,白,クチベニズイセン,テッポウユリ,紫,ラッパスイセン,緋色,ドラセナ・コンシンネ,花,赤・ピンク,ロベリア・カーディナリス,フユザクラ,カンザクラ,木,ギンモクセイ,プリムラ・ジュリアン,デンファレ,ネコヤナギ,ヤマザクラ,カキツバタ
オジギソウ,49,マメ科,オジギソウ属,Mimosa pudica,お辞儀草（オジギソウ / 含羞草、羞恥草とも書く）,['眠り草（ネムリグサ）、ミモザ'],"['Sensitive plant, Sleeping grass']",オジギソウ属の学名「Mimosa（ミモザ）」は、ギリシア語の「mimos（身振り、まね）」が語源で、この植物がおじぎのまねをすることに由来します。このようにミモザは本来オジギソウ属を指す植物名ですが、フサアカシア（アカシア属）の葉がオジギソウのものに似ていることから、誤ってフサアカシアをミモザと呼ぶようになりました。英語では「敏感な草（Sensitive plant）」、漢名では「含羞草（恥ずかしがる草）」と呼ばれます。,夏,['7月～10月'],['繊細な感情'],"['ガンシュウクサ', 'ネムリグサ', 'おじぎそう', 'オジギソウ', '含羞草', 'がんしゅうくさ', 'ねむりぐさ', '眠り草', 'しゅうちくさともかく', 'ミモザ', 'ネムリクサ', 'シュウチクサトモカク', 'ねむりくさ', '羞恥草とも書く', 'みもざ', 'オジギクサ', 'おじぎくさ', 'お辞儀草']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
グロキシニア,95,イワタバコ科,オオイワギリソウ属,Sinningia speciosa,大岩桐草（オオイワギリソウ）,['グロキシニア'],['Gloxinia'],この植物がかつて分類されていたグロキシニア属の学名「Gloxinia（グロキシニア）」は、ドイツの植物学者（Benjamin Peter Gloxin / 1765～1794）の名前にちなみます。現在はオオイワギリソウ属（Sinningia）に分類されていますが、今でも一般にグロキシニアの名前で流通しています。英語でも「Gloxinia（グロキシニア）」と呼ばれます。,初夏～秋,['5月～7月、9月～11月'],['華やかな日々'],"['グロキシニア', 'オオイワキリクサ', 'おおいわぎりそう', 'オオイワギリソウ', '大岩桐草', 'おおいわきりくさ', 'ぐろきしにあ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
カトレア,64,ラン科,カトレア属,Cattleya spp.,カトレア,['カトレヤ'],['Cattleya'],属名の学名「Cattleya（カトレア）」は、この属の最初の収集者で、最初に栽培で花を咲かせたイギリスの園芸愛好家ウィリアム・カトレー（William Cattley、1788～1835）の名前にちなみます。,冬,['周年（種により異なる）'],['優美な貴婦人'],"['かとれや', 'かとれあ', 'カトレヤ', 'カトレア']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
サクラ,113,バラ科,サクラ属,Prunus（サクラ属）,桜（サクラ）,[],['Cherry blossom'],サクラの語源は諸説あり、「咲く」に複数を意味する「ら」を加えたもの、日本神話に登場する女神・木花咲耶姫（コノハナノサクヤビメ）のサクヤをとったもの、春に里にやってくる稲（サ）の神が憑依する座（クラ）であること、などの説があります。,春,['3月～4月'],['精神の美'],"['桜', 'さくら', 'サクラ']","['≪ソメイヨシノ≫「純潔」「優れた美人」', '≪シダレザクラ≫「優美」「ごまかし」', '≪サトザクラ、ヤエザクラ≫「豊かな教養」「善良な教育」「しとやか」', '≪ヤマザクラ≫「あなたに微笑む」「純潔」「高尚」「淡白」「美麗」', '≪フユザクラ≫「冷静」', '≪カンザクラ≫「気まぐれ」']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],"['純潔', '優れた美人']",[''],[''],[''],[''],[''],"['豊かな教養', '善良な教育', 'しとやか']",[''],"['優美', 'ごまかし']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['冷静'],['気まぐれ'],[''],[''],[''],[''],[''],"['あなたに微笑む', '純潔', '高尚', '淡白', '美麗']",['']
サザンカ,116,ツバキ科,ツバキ属,Camellia sasanqua,山茶花（サザンカ）,[],['Sasanqua'],花名の山茶花（サザンカ）は、中国語でツバキ類を指す「山茶（さんさ）」に由来し、山茶花の本来の読みである「サンサカ」がなまったものといわれます。サザンカは江戸時代に長崎・出島のオランダ商館からヨーロッパに伝わり、和名がそのまま学名（Camellia sasanqua）になりました。英語でも「Sasanqua」と呼ばれます。,晩秋～初冬,['10月～12月'],['困難に打ち克つ'],"['サザンカ', 'さざんか', '山茶花']","['≪赤≫「謙譲」「あなたがもっとも美しい」', '≪白≫「愛嬌」「あなたは私の愛を退ける」', '≪ピンク≫「永遠の愛」']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['永遠の愛'],[''],[''],[''],[''],[''],"['謙譲', 'あなたがもっとも美しい']",[''],[''],"['愛嬌', 'あなたは私の愛を退ける']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
カランコエ,73,ベンケイソウ科,カランコエ属,Kalanchoe blossfeldiana,紅弁慶（ベニベンケイ）,['カランコエ'],['Kalanchoe'],属名の学名「Kalanchoe（カランコエ）」は、フランスの博物学者ミシェル・アダンソン（1727～1806）が、この属の一種の中国名「加籃菜」の発音から名づけたといわれています。,冬～春,['11月～5月'],['幸福を告げる'],"['カランコエ', 'ベニベンケイ', 'べにべんけい', '紅弁慶', 'くれないべんけい', 'クレナイベンケイ', 'からんこえ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ステルンベルギア,159,ヒガンバナ科,キバナタマスダレ属,Sternbergia lutea,黄花玉簾（キバナタマスダレ）,['ステルンベルギア'],['Autumn daffodil'],属名の学名「Sternbergia（ステルンベルギア）」は、ボヘミアの植物学者「Kaspar Maria von Sternberg（カシュパル・マリア・シュテルンベルク / 1761～1838）」の名前にちなみます。日本で最もポピュラーな種「ステルンベルギア・ルテア」の和名は「黄花玉簾（キバナタマスダレ）」。同じヒガンバナ科で白い花を咲かせるタマスダレ（ゼフィランサス）に似ていることにちなみます。英語では「Autumn daffodil（秋のラッパスイセン）」などと呼ばれます。,秋,['9月～10月'],['待ちきれない'],"['黄花玉簾', 'ステルンベルギア', 'すてるんべるぎあ', 'キバナタマスダレ', 'きばなたますだれ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ハナニラ,235,ヒガンバナ科,ハナニラ属,Ipheion uniflorum,花韮（ハナニラ）,['アイフェイオン、イエイオン、セイヨウアマナ（西洋甘菜）'],['Spring starflower'],和名の「花韮（ハナニラ）」は、葉にニラ臭があることにちなみます。なお、食用のニラは別属（ネギ属）になります。英語では「Spring starflower（春の星形の花）」と呼ばれます。,春,['3月～5月'],['悲しい別れ'],"['いえいおん', 'あいふぇいおん', 'セイヨウアマナ', '西洋甘菜', 'せいようあまな', 'ハナニラ', 'イエイオン', '花韮', 'はなにら', 'アイフェイオン']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ハナトラノオ,234,シソ科,ハナトラノオ属,Physostegia virginiana,花虎の尾（ハナトラノオ）,['角虎の尾（カクトラノオ）'],"['Obedient plant, False dragonhead, Obedience plant']",属名の学名「Physostegia（フィソステギア）」は、ギリシア語の「physa（胞）」と「stege（ふたをする）」を語源とし、膨らんだ萼に由来するといわれます。和名の「花虎の尾（ハナトラノオ）」は、花が美しく、長い花穂が虎のしっぽに似ていることにちなみます。また、茎が四角いので「角虎の尾（カクトラノオ）」の別名もあります。英語では「Obedient plant」「False dragonhead」などと呼ばれます。,夏～秋,['7月～10月'],['望みの成就'],"['花虎の尾', 'カクトラノオ', 'かくとらのお', 'はなとらのお', 'ハナトラノオ', '角虎の尾']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ペラルゴニウム,284,フウロソウ科,テンジクアオイ属,Pelargonium grandiflorum hybrids,夏咲き天竺葵（ナツザキテンジクアオイ）,['ペラルゴニウム、ペラルゴニューム'],"['Fancy geranium, Show geranium']",属名（テンジクアオイ属）の学名「Pelargonium（ペラルゴニウム）」は、ギリシア語の「pelargo（コウノトリ）」が語源であり、花後の種子に突起があり、コウノトリのくちばしに似ていることに由来します。和名の「夏咲き天竺葵（ナツザキテンジクアオイ）」の天竺は「異国産の」という意味で、葵は葉が「アオイ」に似ていることにちなみます。同属で四季咲きのゼラニウムは「天竺葵」と呼ばれ、春から初夏にかけて開花するペラルゴニウムは「夏咲き天竺葵」と呼ばれています。英語では「Fancy geranium（装飾的なゼラニウム）」と呼ばれます。,春～夏,['4月～7月'],['あでやかな装い'],"['ナツザキテンジクアオイ', 'ペラルゴニウム', 'なつさきてんじくあおい', 'なつざきてんじくあおい', 'ぺらるごにうむ', 'ペラルゴニューム', 'ぺらるごにゅーむ', 'ナツサキテンジクアオイ', '夏咲き天竺葵']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
カモミール,70,キク科,シカギク属,Matricaria chamomilla,加密列（カミツレ）,['カモミール、カモマイル、カミルレ、ジャーマンカモミール'],"['Chamomile, German chamomile']",花名のカモミール（Chamomile）は、ギリシア語の「chamaimelon（大地のリンゴ）」を語源とし、リンゴに似た香りがあることに由来します。和名のカミツレ（加密列）は、江戸時代に蘭学とともに入ってきたことから、オランダ語名のカーミレ（kamille）が転訛したものといわれます。,春～初夏,['4月～7月'],['逆境に耐える'],"['じゃーまんかもみーる', '加密列', 'かみつれ', 'かみつれつ', 'カミツレツ', 'カミルレ', 'かみるれ', 'カモミール', 'かもみーる', 'かもまいる', 'ジャーマンカモミール', 'カミツレ', 'カモマイル']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ザクロ,115,ミソハギ科,ザクロ属,Punica granatum,石榴（ザクロ）,[],['Pomegranate'],ザクロの名前の由来は諸説あり、原産地とも考えられるペルシア湾東方の「ザグロス山脈」の名前にちなむという説などがあります。属名の学名「Punica（プニカ）」 は、ラテン語で「Poeni（フェニキアの）」を意味し、古くカルタゴ周辺（フェニキア人の海外植民市）がザクロの原産地であると考えられていたことにちなみます。,初夏,['6月～7月'],[],"['ざくろ', 'セキリュウ', '石榴', 'せきりゅう', 'ザクロ']","['≪花≫「円熟した優雅さ」', '≪実≫「愚かしさ」「結合」']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],"['愚かしさ', '結合']",[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['円熟した優雅さ'],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ナンテン,211,メギ科,ナンテン属,Nandina domestica,南天（ナンテン）,[],"['Nandina, Heavenly bamboo, Sacred bamboo']",和名の「南天（ナンテン）」は、漢名の「南天燭（なんてんしょく）」を略したものです。英語では「Nandina」や「Heavenly bamboo」などと呼ばれます。,初夏,['6月～7月（実は11月～12月）'],['私の愛は増すばかり'],"['なんてん', 'ナンテン', '南天']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
アイ,[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['美しい装い'],[''],[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
ブルーベリー,277,ツツジ科,スノキ属,Vaccinium spp.,ブルーベリー,['沼酸塊（ヌマスグリ）、沼酢の木（ヌマスノキ）'],['Blueberry'],英語で「berry（ベリー）」は、「核のない果肉の柔らかな食用小果実」という意味があり、「Blueberry（ブルーベリー）」は食用の青い小果実を表わします。ちなみに、イチゴの「Strawberry（ストロベリー）」は「straw（ワラ）のberry（ベリー）」という意味ですが、その由来は諸説あり、「麦わらをしいて育てた」「麦わらに包まれて売られていた」などといわれます。,春,['4月～5月（実は7月～8月）'],['実りのある人生'],"['ヌマスグリ', 'ぶるーべりー', 'ぬますぐり', '沼酢の木', '沼酸塊', 'ぬますのき', 'ヌマスノキ', 'ブルーベリー']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
モミジ / カエデ,[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['大切な思い出'],[''],[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
オリーブ,56,モクセイ科,オリーブ属,Olea europaea,オリーブ,[],['Olive'],属名の学名「Olea（オレア）」は、ラテン語でオリーブの木と実を意味するといわれます。,初夏,['5月～6月（実の収穫時期は9～11月）'],['平和'],"['オリーブ', 'おりーぶ']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
シンビジウム,148,ラン科,シュンラン属,Cymbidium,シンビジウム,"['シンビジューム、シンビデューム、シンビディウム', '忍冬（ニンドウ）']","['Cymbidium', 'Japanese Honeysuckle']",属名の学名「Cymbidium（シンビジウム）」は、ギリシア語の「cymbe（舟）」と「eidos（形）」を語源とし、その唇弁（ラン科植物にみられるくちびる状の花びら）の形に由来するといわれます。,冬,"['12月～5月', '5月～7月']",['飾らない心'],"['しんびでゅーむ', 'スイカズラ', 'シンビジウム', 'しんびじうむ', 'シンビディウム', 'シンビデューム', 'ニンドウ', 'にんどう', '忍冬', 'しんびじゅーむ', 'しんびでぃうむ', 'シンビジューム', 'すいかずら']",[],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],[''],['']
